stop_id,stop_name,stop_lat,stop_lon
新宿,新宿,35.6895,139.7004
渋谷,渋谷,35.658,139.7016
池袋,池袋,35.7295,139.7109
東京,東京,35.6812,139.7671
品川,品川,35.6284,139.7387
上野,上野,35.7141,139.7774
秋葉原,秋葉原,35.6983,139.773
新橋,新橋,35.6664,139.7583
川崎,川崎,35.5313,139.6974
横浜,横浜,35.4657,139.6223
大船,大船,35.3541,139.5313
藤沢,藤沢,35.3389,139.4883
辻堂,辻堂,35.3368,139.4471
茅ケ崎,茅ケ崎,35.3304,139.4067
平塚,平塚,35.3274,139.349
小田原,小田原,35.2562,139.1553
中野,中野,35.7058,139.6658
三鷹,三鷹,35.7027,139.5607
吉祥寺,吉祥寺,35.7031,139.5798
立川,立川,35.6994,139.413
八王子,八王子,35.6554,139.3389
高尾,高尾,35.642,139.2822
武蔵小杉,武蔵小杉,35.5768,139.6596
日吉,日吉,35.5544,139.6469
菊名,菊名,35.5097,139.6304
自由が丘,自由が丘,35.6072,139.6687
二子玉川,二子玉川,35.6116,139.6265
溝の口,溝の口,35.5999,139.6105
鷺沼,鷺沼,35.5794,139.5731
あざみ野,あざみ野,35.5684,139.5534
青葉台,青葉台,35.5428,139.5173
長津田,長津田,35.5317,139.495
町田,町田,35.542,139.4455
中央林間,中央林間,35.5074,139.4443
登戸,登戸,35.6209,139.5699
新百合ヶ丘,新百合ヶ丘,35.6035,139.5074
相模大野,相模大野,35.5323,139.4377
海老名,海老名,35.4526,139.3907
本厚木,本厚木,35.4392,139.3636
調布,調布,35.6521,139.5442
府中,府中,35.6721,139.4804
聖蹟桜ヶ丘,聖蹟桜ヶ丘,35.6508,139.447
橋本,橋本,35.5948,139.345
赤羽,赤羽,35.7776,139.721
浦和,浦和,35.857,139.6573
大宮,大宮,35.9063,139.624
川口,川口,35.8021,139.7175
船橋,船橋,35.7017,139.9852
津田沼,津田沼,35.6914,140.0205
千葉,千葉,35.6133,140.1135
柏,柏,35.8622,139.9709
